[engine] Using C++ engine
=== Candidate 4 v5: AlphaZero with Curriculum ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 300 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps
Training: 500 iters, 100 train steps/iter
Curriculum: random → greedy → minimax → self_play, promote at 75%

Resumed from checkpoint at iteration 20
  total_games=321, best_wins=0, phase=random
Iter  46 [  random] | Games:   740 | R/B/D: 1/2/13 CM:3(19%)x2 | Len: 187 | PL: 2.1761 | VL: 0.0074 | Buf:  20000 | SP: 122s (7.9g/m) | Train: 1s | Elapsed: 4117s
Iter  47 [  random] | Games:   756 | R/B/D: 3/2/11 CM:5(31%)x2 | Len: 168 | PL: 2.1825 | VL: 0.0059 | Buf:  20000 | SP: 127s (7.5g/m) | Train: 1s | Elapsed: 4246s
Iter  48 [  random] | Games:   772 | R/B/D: 3/0/13 CM:3(19%)x2 | Len: 194 | PL: 2.1820 | VL: 0.0059 | Buf:  20000 | SP: 131s (7.3g/m) | Train: 2s | Elapsed: 4378s
Iter  49 [  random] | Games:   788 | R/B/D: 2/2/12 CM:4(25%)x2 | Len: 194 | PL: 2.1850 | VL: 0.0101 | Buf:  20000 | SP: 129s (7.4g/m) | Train: 1s | Elapsed: 4508s
Iter  50 [  random] | Games:   804 | R/B/D: 0/2/14 CM:2(12%)x2 | Len: 189 | PL: 2.1826 | VL: 0.0049 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 1s | Elapsed: 4637s
  >> Eval vs random (10g): 0W / 2L / 8D  (Score: 40%)
Iter  51 [  random] | Games:   820 | R/B/D: 2/0/14 CM:2(12%)x2 | Len: 197 | PL: 2.1925 | VL: 0.0072 | Buf:  20000 | SP: 127s (7.5g/m) | Train: 2s | Elapsed: 5118s
Iter  52 [  random] | Games:   836 | R/B/D: 2/0/14 CM:2(12%)x2 | Len: 196 | PL: 2.1958 | VL: 0.0060 | Buf:  20000 | SP: 129s (7.5g/m) | Train: 1s | Elapsed: 5249s
Iter  53 [  random] | Games:   852 | R/B/D: 0/2/14 CM:2(12%)x3 | Len: 197 | PL: 2.1972 | VL: 0.0066 | Buf:  20000 | SP: 134s (7.2g/m) | Train: 1s | Elapsed: 5384s
Iter  54 [  random] | Games:   868 | R/B/D: 5/3/8 CM:8(50%)x2 | Len: 157 | PL: 2.2130 | VL: 0.0082 | Buf:  20000 | SP: 128s (7.5g/m) | Train: 2s | Elapsed: 5514s
