[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Skipping pretrained weights (SKIP_PRETRAIN=1)
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 200 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 100 train steps/iter

Skipping human buffer seeding (SKIP_PRETRAIN=1)
Iter  30 | Games:   480 | R/B/D: 4/12/0 | Len: 200 | PL: 3.0460 | VL: 0.0130 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 4422s
Iter  31 | Games:   496 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 3.0487 | VL: 0.0123 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 4565s
Iter  32 | Games:   512 | R/B/D: 7/7/2(D=2) | Len: 200 | PL: 3.0489 | VL: 0.0145 | Buf:  20000 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 4708s
Iter  33 | Games:   528 | R/B/D: 6/10/0 | Len: 200 | PL: 3.0439 | VL: 0.0161 | Buf:  20000 | SP: 140s (6.9g/m) | Train: 1s | Elapsed: 4849s
Iter  34 | Games:   544 | R/B/D: 4/11/1(D=1) | Len: 200 | PL: 3.0281 | VL: 0.0127 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 4993s
Iter  35 | Games:   560 | R/B/D: 3/13/0 | Len: 200 | PL: 3.0036 | VL: 0.0114 | Buf:  20000 | SP: 139s (6.9g/m) | Train: 1s | Elapsed: 5134s
Iter  36 | Games:   576 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9935 | VL: 0.0115 | Buf:  20000 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 5276s
Iter  37 | Games:   592 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9949 | VL: 0.0094 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 5419s
Iter  38 | Games:   608 | R/B/D: 7/8/1(D=1) | Len: 200 | PL: 2.9952 | VL: 0.0148 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 5564s
Iter  39 | Games:   624 | R/B/D: 3/11/2(D=2) | Len: 200 | PL: 2.9710 | VL: 0.0121 | Buf:  20000 | SP: 139s (6.9g/m) | Train: 1s | Elapsed: 5704s
Iter  40 | Games:   640 | R/B/D: 4/10/2(D=2) | Len: 200 | PL: 2.9857 | VL: 0.0136 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 5848s
Iter  41 | Games:   656 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9898 | VL: 0.0107 | Buf:  20000 | SP: 140s (6.9g/m) | Train: 1s | Elapsed: 5990s
Iter  42 | Games:   672 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 2.9971 | VL: 0.0116 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 6135s
Iter  43 | Games:   688 | R/B/D: 0/15/1(D=1) | Len: 200 | PL: 3.0128 | VL: 0.0074 | Buf:  20000 | SP: 138s (7.0g/m) | Train: 1s | Elapsed: 6274s
Iter  44 | Games:   704 | R/B/D: 7/7/2(D=2) | Len: 200 | PL: 3.0064 | VL: 0.0150 | Buf:  20000 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 6416s
Iter  45 | Games:   720 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 3.0240 | VL: 0.0131 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 6561s
Iter  46 | Games:   736 | R/B/D: 5/10/1(D=1) | Len: 200 | PL: 3.0102 | VL: 0.0121 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 6704s
Iter  47 | Games:   752 | R/B/D: 4/11/1(D=1) | Len: 200 | PL: 3.0104 | VL: 0.0108 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 6849s
Iter  48 | Games:   768 | R/B/D: 3/12/1(D=1) | Len: 200 | PL: 3.0019 | VL: 0.0119 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 6997s
Iter  49 | Games:   784 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9956 | VL: 0.0114 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 7141s
Iter  50 | Games:   800 | R/B/D: 3/11/2(D=2) | Len: 200 | PL: 2.9787 | VL: 0.0120 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 7288s
  >> Eval vs Random (10g as Red): 7W / 3L / 0D  (Score: 70%)
  >> New best model saved! (7W)
Iter  51 | Games:   816 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9809 | VL: 0.0133 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 7527s
Iter  52 | Games:   832 | R/B/D: 3/13/0 | Len: 200 | PL: 2.9783 | VL: 0.0114 | Buf:  20000 | SP: 146s (6.6g/m) | Train: 1s | Elapsed: 7674s
Iter  53 | Games:   848 | R/B/D: 2/14/0 | Len: 200 | PL: 2.9704 | VL: 0.0074 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 7818s
Iter  54 | Games:   864 | R/B/D: 4/10/2(D=2) | Len: 200 | PL: 2.9707 | VL: 0.0110 | Buf:  20000 | SP: 143s (6.7g/m) | Train: 1s | Elapsed: 7963s
Iter  55 | Games:   880 | R/B/D: 4/12/0 | Len: 200 | PL: 2.9662 | VL: 0.0091 | Buf:  20000 | SP: 142s (6.8g/m) | Train: 1s | Elapsed: 8106s
Iter  56 | Games:   896 | R/B/D: 6/9/1(D=1) | Len: 200 | PL: 2.9780 | VL: 0.0136 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 8251s
Iter  57 | Games:   912 | R/B/D: 8/8/0 | Len: 200 | PL: 2.9847 | VL: 0.0144 | Buf:  20000 | SP: 141s (6.8g/m) | Train: 1s | Elapsed: 8394s
Iter  58 | Games:   928 | R/B/D: 5/11/0 | Len: 200 | PL: 2.9850 | VL: 0.0114 | Buf:  20000 | SP: 144s (6.7g/m) | Train: 1s | Elapsed: 8539s
