[engine] Using C++ engine
=== Candidate 4: Mini AlphaZero (Single-Process Batched) ===
Device: cuda
Loaded pretrained weights from /home/start-up/AI-ZeroToOne/Season-5/ChessRL/training/candidate4/az_pretrained.pt
Model: 5 res blocks, 64 channels, 1,868,539 params (7.5 MB)
MCTS: 50 sims, 8 VL batch, c_puct=1.5
Self-play: 16 parallel games, 200 max steps, 16 games/iter
Training: 300 iters, 20 train steps/iter

Loaded 20000 human positions from supervised_training_data_shard012.npz
Replay buffer seeded with 20000 human positions
Iter  30 | Games:   480 | R/B/D: 8/7/1(D=1) | Len: 200 | PL: 2.5152 | VL: 0.2096 | Buf: 100000 | SP: 32s (29.7g/m) | Train: 0s | Elapsed: 1040s
Iter  31 | Games:   496 | R/B/D: 12/4/0 | Len: 200 | PL: 2.6368 | VL: 0.2056 | Buf: 100000 | SP: 32s (29.9g/m) | Train: 0s | Elapsed: 1073s
Iter  32 | Games:   512 | R/B/D: 10/6/0 | Len: 200 | PL: 2.8528 | VL: 0.2216 | Buf: 100000 | SP: 32s (29.6g/m) | Train: 0s | Elapsed: 1106s
Iter  33 | Games:   528 | R/B/D: 10/4/2(D=2) | Len: 200 | PL: 2.7472 | VL: 0.2031 | Buf: 100000 | SP: 32s (30.3g/m) | Train: 0s | Elapsed: 1138s
Iter  34 | Games:   544 | R/B/D: 9/6/1(D=1) | Len: 200 | PL: 2.7159 | VL: 0.1953 | Buf: 100000 | SP: 33s (29.0g/m) | Train: 0s | Elapsed: 1171s
Iter  35 | Games:   560 | R/B/D: 10/3/3(D=3) | Len: 200 | PL: 2.7415 | VL: 0.1892 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 1204s
Iter  36 | Games:   576 | R/B/D: 12/2/2(D=2) | Len: 200 | PL: 2.7006 | VL: 0.1792 | Buf: 100000 | SP: 33s (29.0g/m) | Train: 0s | Elapsed: 1238s
Iter  37 | Games:   592 | R/B/D: 16/0/0 | Len: 200 | PL: 2.7321 | VL: 0.2060 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 1271s
Iter  38 | Games:   608 | R/B/D: 5/11/0 | Len: 200 | PL: 2.6586 | VL: 0.2193 | Buf: 100000 | SP: 33s (28.9g/m) | Train: 0s | Elapsed: 1305s
Iter  39 | Games:   624 | R/B/D: 11/1/4(D=4) | Len: 200 | PL: 2.6753 | VL: 0.1737 | Buf: 100000 | SP: 32s (29.8g/m) | Train: 0s | Elapsed: 1338s
Iter  40 | Games:   640 | R/B/D: 13/3/0 | Len: 200 | PL: 2.6978 | VL: 0.1787 | Buf: 100000 | SP: 32s (29.9g/m) | Train: 0s | Elapsed: 1370s
Iter  41 | Games:   656 | R/B/D: 12/3/1(D=1) | Len: 200 | PL: 2.6999 | VL: 0.1738 | Buf: 100000 | SP: 33s (28.8g/m) | Train: 0s | Elapsed: 1404s
Iter  42 | Games:   672 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 2.6970 | VL: 0.1920 | Buf: 100000 | SP: 34s (28.4g/m) | Train: 0s | Elapsed: 1438s
Iter  43 | Games:   688 | R/B/D: 8/4/4(D=4) | Len: 200 | PL: 2.6605 | VL: 0.1904 | Buf: 100000 | SP: 34s (28.0g/m) | Train: 0s | Elapsed: 1473s
Iter  44 | Games:   704 | R/B/D: 11/4/1(D=1) | Len: 200 | PL: 2.6396 | VL: 0.1687 | Buf: 100000 | SP: 34s (27.8g/m) | Train: 0s | Elapsed: 1508s
Iter  45 | Games:   720 | R/B/D: 12/2/2(D=2) | Len: 200 | PL: 2.6475 | VL: 0.1665 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 1541s
Iter  46 | Games:   736 | R/B/D: 14/2/0 | Len: 200 | PL: 2.6791 | VL: 0.1601 | Buf: 100000 | SP: 32s (29.7g/m) | Train: 0s | Elapsed: 1574s
Iter  47 | Games:   752 | R/B/D: 12/3/1(D=1) | Len: 191 | PL: 2.6776 | VL: 0.1484 | Buf: 100000 | SP: 33s (29.3g/m) | Train: 0s | Elapsed: 1607s
Iter  48 | Games:   768 | R/B/D: 8/5/3(D=3) | Len: 189 | PL: 2.6364 | VL: 0.1612 | Buf: 100000 | SP: 33s (29.3g/m) | Train: 0s | Elapsed: 1640s
Iter  49 | Games:   784 | R/B/D: 12/2/2(D=2) | Len: 200 | PL: 2.6140 | VL: 0.1537 | Buf: 100000 | SP: 33s (29.5g/m) | Train: 0s | Elapsed: 1673s
Iter  50 | Games:   800 | R/B/D: 10/4/2(D=2) | Len: 200 | PL: 2.6424 | VL: 0.1526 | Buf: 100000 | SP: 34s (28.6g/m) | Train: 0s | Elapsed: 1707s
  >> Eval vs Random (10g as Red): 1W / 8L / 1D  (Score: 15%)
Iter  51 | Games:   816 | R/B/D: 14/1/1(D=1) | Len: 200 | PL: 2.6712 | VL: 0.1553 | Buf: 100000 | SP: 33s (29.1g/m) | Train: 0s | Elapsed: 1794s
Iter  52 | Games:   832 | R/B/D: 13/2/1(D=1) | Len: 200 | PL: 2.6543 | VL: 0.1379 | Buf: 100000 | SP: 33s (29.4g/m) | Train: 0s | Elapsed: 1827s
Iter  53 | Games:   848 | R/B/D: 12/3/1(D=1) | Len: 188 | PL: 2.6629 | VL: 0.1512 | Buf: 100000 | SP: 33s (29.4g/m) | Train: 0s | Elapsed: 1860s
Iter  54 | Games:   864 | R/B/D: 12/1/3(D=3) | Len: 200 | PL: 2.6658 | VL: 0.1274 | Buf: 100000 | SP: 32s (29.7g/m) | Train: 0s | Elapsed: 1893s
Iter  55 | Games:   880 | R/B/D: 10/5/1(D=1) | Len: 200 | PL: 2.6652 | VL: 0.1502 | Buf: 100000 | SP: 32s (29.9g/m) | Train: 0s | Elapsed: 1925s
Iter  56 | Games:   896 | R/B/D: 10/5/1(D=1) | Len: 200 | PL: 2.6918 | VL: 0.1490 | Buf: 100000 | SP: 33s (29.0g/m) | Train: 0s | Elapsed: 1959s
Iter  57 | Games:   912 | R/B/D: 9/5/2(D=2) | Len: 200 | PL: 2.6871 | VL: 0.1463 | Buf: 100000 | SP: 34s (28.4g/m) | Train: 0s | Elapsed: 1993s
Iter  58 | Games:   928 | R/B/D: 7/9/0 | Len: 200 | PL: 2.6839 | VL: 0.1719 | Buf: 100000 | SP: 34s (28.6g/m) | Train: 0s | Elapsed: 2027s
Iter  59 | Games:   944 | R/B/D: 8/3/5(D=5) | Len: 200 | PL: 2.6789 | VL: 0.1704 | Buf: 100000 | SP: 33s (29.4g/m) | Train: 0s | Elapsed: 2060s
Iter  60 | Games:   960 | R/B/D: 12/3/1(D=1) | Len: 200 | PL: 2.6708 | VL: 0.1709 | Buf: 100000 | SP: 34s (28.5g/m) | Train: 0s | Elapsed: 2094s
Iter  61 | Games:   976 | R/B/D: 8/5/3(D=3) | Len: 200 | PL: 2.6635 | VL: 0.1748 | Buf: 100000 | SP: 32s (29.9g/m) | Train: 0s | Elapsed: 2127s
Iter  62 | Games:   992 | R/B/D: 6/6/4(D=4) | Len: 200 | PL: 2.6818 | VL: 0.1640 | Buf: 100000 | SP: 32s (29.6g/m) | Train: 0s | Elapsed: 2159s
